x,y,gvi,gvi_adj
30,58,0.11484146118164062,0.11484146118164062
23,25,0.024333953857421875,0.024333953857421875
30,38,0.3256683349609375,0.3256683349609375
28,54,0.050434112548828125,0.050434112548828125
17,51,0.06876754760742188,0.06876754760742188
31,67,0.2583465576171875,0.2583465576171875
30,39,0.09577560424804688,0.09577560424804688
24,33,0.3821907043457031,0.3821907043457031
12,68,0.1201019287109375,0.1201019287109375
2,44,0.10398483276367188,0.10398483276367188
28,42,0.14957046508789062,0.14957046508789062
36,51,0.0,0.0
28,82,0.13015365600585938,0.13015365600585938
43,46,0.1381683349609375,0.1381683349609375
21,55,0.020618438720703125,0.020618438720703125
11,53,0.12694931030273438,0.12694931030273438
21,27,0.0427093505859375,0.0427093505859375
25,70,0.029705047607421875,0.029705047607421875
17,50,0.19801712036132812,0.19801712036132812
24,48,0.32276153564453125,0.32276153564453125
38,45,0.1560821533203125,0.1560821533203125
36,53,0.0,0.0
29,42,0.3842582702636719,0.3842582702636719
29,53,0.006381988525390625,0.006381988525390625
9,27,0.2745475769042969,0.2745475769042969
27,64,0.22227096557617188,0.22227096557617188
12,43,0.0724945068359375,0.0724945068359375
26,16,0.2930564880371094,0.2930564880371094
35,39,0.3551521301269531,0.3551521301269531
0,42,0.09158706665039062,0.09158706665039062
16,77,0.048938751220703125,0.048938751220703125
31,53,0.4495429992675781,0.4495429992675781
34,39,0.274261474609375,0.274261474609375
22,15,0.39723968505859375,0.39723968505859375
26,60,0.1048583984375,0.1048583984375
28,32,0.178741455078125,0.178741455078125
21,42,0.290191650390625,0.290191650390625
31,54,0.1004180908203125,0.1004180908203125
13,53,0.12568283081054688,0.12568283081054688
39,1,0.2637672424316406,0.2637672424316406
25,55,0.0092926025390625,0.0092926025390625
14,23,0.09352493286132812,0.09352493286132812
21,29,0.4043540954589844,0.4043540954589844
26,14,0.3341217041015625,0.3341217041015625
26,75,0.0,0.0
13,57,0.0624237060546875,0.0624237060546875
29,20,0.1328277587890625,0.1328277587890625
23,55,0.4344635009765625,0.4344635009765625
37,45,0.15568923950195312,0.15568923950195312
24,15,0.14516830444335938,0.14516830444335938
27,7,0.09197235107421875,0.09197235107421875
19,34,0.5088729858398438,0.5088729858398438
14,56,0.0,0.0
24,47,0.20518875122070312,0.20518875122070312
12,63,0.3011894226074219,0.3011894226074219
32,62,0.18946075439453125,0.18946075439453125
10,17,0.16819000244140625,0.16819000244140625
17,58,0.0997314453125,0.0997314453125
40,4,0.39275360107421875,0.39275360107421875
16,26,0.3567543029785156,0.3567543029785156
28,48,0.12035369873046875,0.12035369873046875
38,44,0.041728973388671875,0.041728973388671875
20,76,0.0,0.0
18,29,0.009845733642578125,0.009845733642578125
31,62,0.163421630859375,0.163421630859375
11,37,0.26299285888671875,0.26299285888671875
